2026-01-19 08:30:08,537 | INFO | Script start (UTC): 2026-01-19T08:30:08+00:00
2026-01-19 08:30:08,538 | INFO | Base dir: /home/agkiokas/MARS/data/GLOBE/0001/FC/ML
2026-01-19 08:30:08,539 | INFO | Downloading -> 15_01_2026-15_01_2026.nc
2026-01-19 08:30:43,931 | ERROR | FAILED day_idx=0 (15_01_2026-15_01_2026): 'ecmwf.API error 1: ERROR 89 (MARS_EXPECTED_FIELDS): Expected 16, got 0'
2026-01-19 08:30:43,932 | INFO | Downloading -> 17_01_2026-17_01_2026.nc
2026-01-19 08:30:52,614 | ERROR | FAILED day_idx=2 (17_01_2026-17_01_2026): 'ecmwf.API error 1: ERROR 89 (MARS_EXPECTED_FIELDS): Expected 16, got 0'
2026-01-19 08:30:52,615 | INFO | Downloading -> 19_01_2026-19_01_2026.nc
2026-01-19 08:31:01,215 | ERROR | FAILED day_idx=4 (19_01_2026-19_01_2026): 'ecmwf.API error 1: ERROR 3 (MARS_RESTRICTED_ACCESS_TO_VALID_DATA): restricted access to valid data.'
2026-01-19 08:31:01,216 | INFO | Script end (UTC): 2026-01-19T08:31:01+00:00
2026-01-19 08:31:01,216 | INFO | Elapsed: 0:00:52.678498
2026-01-19 08:31:01,217 | WARNING | Some downloads failed: day0:15_01_2026-15_01_2026, day2:17_01_2026-17_01_2026, day4:19_01_2026-19_01_2026
2026-01-19 08:33:53,301 | INFO | Script start (UTC): 2026-01-19T08:33:53+00:00
2026-01-19 08:33:53,302 | INFO | Base dir: /home/agkiokas/MARS/data/GLOBE/0001/FC/ML
2026-01-19 08:33:53,303 | INFO | Downloading -> 15_01_2026-15_01_2026.nc
2026-01-19 08:34:07,651 | ERROR | FAILED day_idx=0 (15_01_2026-15_01_2026): 'ecmwf.API error 1: ERROR 89 (MARS_EXPECTED_FIELDS): Expected 8, got 0'
2026-01-19 08:34:07,652 | INFO | Downloading -> 17_01_2026-17_01_2026.nc
2026-01-19 08:34:16,428 | ERROR | FAILED day_idx=2 (17_01_2026-17_01_2026): 'ecmwf.API error 1: ERROR 89 (MARS_EXPECTED_FIELDS): Expected 8, got 0'
2026-01-19 08:34:16,430 | INFO | Downloading -> 19_01_2026-19_01_2026.nc
2026-01-19 08:34:25,059 | ERROR | FAILED day_idx=4 (19_01_2026-19_01_2026): 'ecmwf.API error 1: ERROR 3 (MARS_RESTRICTED_ACCESS_TO_VALID_DATA): restricted access to valid data.'
2026-01-19 08:34:25,060 | INFO | Script end (UTC): 2026-01-19T08:34:25+00:00
2026-01-19 08:34:25,061 | INFO | Elapsed: 0:00:31.758886
2026-01-19 08:34:25,062 | WARNING | Some downloads failed: day0:15_01_2026-15_01_2026, day2:17_01_2026-17_01_2026, day4:19_01_2026-19_01_2026
